Case,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Id,Withdrawal_reason__c,Withdrawal_code__c,Index
Perfect Match,003f400000KvxP4AAJ,001f400000LvhPLAAZ,2019-05-17,2019-05-17,2016-04-13,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,ECONOMICS BA,2361,003f400000KvxP4AAJ,001f400000LvhPLAAZ,2019-05-17,2019-05-17,2016-04-13,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,ECONOMICS BA,a02f400000KZCJIAA5,,,3046
Perfect Match,003f400000KvxYRAAZ,001f400000LvhPMAAZ,2017-09-27,,2016-04-13,Attending,Bachelor's,NSC,,,1216,003f400000KvxYRAAZ,001f400000LvhPMAAZ,2017-09-27,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n7DsAAI,,,1419
Attending but DB had T/W,003f400000KvxYRAAZ,001f400000LvhzxAAB,2017-08-19,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1217,003f400000KvxYRAAZ,001f400000LvhzxAAB,2017-08-19,2018-05-16,2018-11-28,Transferred out,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n7DtAAI,,,1420
Perfect Match,003f400000KvxYnAAJ,001f400000LvheeAAB,2017-08-28,,2016-04-13,Attending,Bachelor's,NSC,,,1229,003f400000KvxYnAAJ,001f400000LvheeAAB,2017-08-28,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n6jvAAA,,,208
Perfect Match,003f400000TlTPmAAN,001f400000LvhyrAAB,2019-09-23,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,809,003f400000TlTPmAAN,001f400000LvhyrAAB,2019-09-23,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KbGcZAAV,,,3365
Perfect Match,003f400000TlTPmAAN,001f400000LvhzxAAB,2018-08-25,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,808,003f400000TlTPmAAN,001f400000LvhzxAAB,2018-08-25,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli8ZAAR,,,2589
Perfect Match,003f400000TlTPmAAN,001f400000LvhPMAAZ,2018-09-26,2019-04-11,2016-04-13,Withdrew,Bachelor's,NSC,,,807,003f400000TlTPmAAN,001f400000LvhPMAAZ,2018-09-26,2019-04-11,2016-04-13,Withdrew,Bachelor's,NSC,,,a02f400000Bli8aAAB,,,2590
Perfect Match,003f400000KvxTWAAZ,001f400000LvhyZAAR,2016-08-08,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1760,003f400000KvxTWAAZ,001f400000LvhyZAAR,2016-08-08,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n6iaAAA,,,141
Perfect Match,003f40000169hugAAA,001f400000LvhyZAAR,2019-08-15,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,401,003f40000169hugAAA,001f400000LvhyZAAR,2019-08-15,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KbGi3AAF,,,3705
Perfect Match,003f400000Kvx49AAB,001f400000LvhPPAAZ,2017-09-28,,2016-04-13,Attending,Bachelor's,NSC,,,4028,003f400000Kvx49AAB,001f400000LvhPPAAZ,2017-09-28,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Bli0qAAB,,,2119
Perfect Match,003f400000Kvx49AAB,001f400000Lvi0MAAR,2018-06-11,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,4027,003f400000Kvx49AAB,001f400000Lvi0MAAR,2018-06-11,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli0rAAB,,,2120
Perfect Match,003f400000TlTQFAA3,001f400000LvlNKAAZ,2018-08-22,,2016-04-13,Attending,Bachelor's,NSC,,,748,003f400000TlTQFAA3,001f400000LvlNKAAZ,2018-08-22,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Bli17AAB,,,2136
(NSC only) New attending enrollment,003f400000TlTQFAA3,001f400000LvlNKAAZ,2020-01-21,,2016-04-13,Attending,Bachelor's,NSC,,,749
